feature,importance
wl_lag_1,0.8563230482348957
precip_lag_1,0.05412569615261228
wl_change_1d,0.018025916633921328
precip_sum_3d,0.015267322767171663
precip_lag_3,0.0038030390426916976
cos_doy,0.00355253592626525
precip_lag_5,0.002990963258548979
precip_lag_4,0.002715010965076175
wl_mean_previous_14d,0.002504862238224463
precip_lag_8,0.0024387388441937815
wl_mean_previous_7d,0.0024138413427499976
precip_lag_2,0.002368332056185582
precip_sum_30d,0.0023435934712817044
sin_doy,0.0021454179992966486
wl_lag_2,0.002057723128420385
wl_lag_3,0.0019412494596633633
precip_lag_10,0.0019306470617340744
precip_lag_14,0.001898935370799193
precip_lag_7,0.0018793427850500163
precip_lag_0,0.0018345129798887614
precip_lag_9,0.0018233414334809892
precip_lag_11,0.001731816157027352
precip_lag_6,0.0016594605087737946
precip_sum_7d,0.001580357015259332
precip_lag_12,0.0015467888086831843
precip_lag_13,0.0015036144243011816
wl_mean_previous_3d,0.0013460193039617101
precip_sum_14d,0.001290606264776994
wl_lag_4,0.0011912222514524494
wl_lag_7,0.001015431520589863
month,0.001011997555542915
wl_lag_5,0.0008992433475286794
wl_lag_6,0.000839371689950491
