feature,importance
wl_lag_1,0.6682230223381371
precip_lag_1,0.07185497636839461
precip_lag_0,0.05149221300110572
precip_sum_3d,0.04181773889194456
precip_lag_2,0.018535014246317854
cos_doy,0.008326432332217507
wl_mean_previous_3d,0.007893611559893963
precip_lag_13,0.007292746727533358
wl_lag_3,0.006853554987608967
precip_lag_11,0.006359797346652713
precip_lag_6,0.006087192701303375
precip_sum_14d,0.005942423297925481
wl_mean_previous_14d,0.005911047175104773
wl_change_1d,0.005722082926390882
precip_lag_3,0.005681674488879109
precip_lag_9,0.005650163517131972
wl_lag_4,0.0053827252374722
precip_lag_4,0.005326752052382616
sin_doy,0.005291793824528263
precip_lag_5,0.0051167637419129875
precip_lag_12,0.005098434809818135
wl_mean_previous_7d,0.004949738668563305
precip_sum_7d,0.004770741036414447
precip_lag_7,0.004746121313534273
wl_lag_5,0.004683581327776235
precip_lag_14,0.004602505558064382
precip_sum_30d,0.00456286571948018
precip_lag_10,0.004444639296531307
wl_lag_7,0.003786568701164062
precip_lag_8,0.0037171795746258037
wl_lag_2,0.0034671260175577444
month,0.0033188040869507507
wl_lag_6,0.0030899671266814543
